question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,start_date,end_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,created_at,notes,url,stage,party,answer,candidate_name,pct
112448,62515,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,464,lv,lv-r,Online,U.S. President,10/27/19,10/29/19,"",false,,false,false,10/30/19 09:08,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zgaz948hzw/econTabReport.pdf,primary,REP,Trump,Donald Trump,83.0
112448,62515,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,464,lv,lv-r,Online,U.S. President,10/27/19,10/29/19,"",false,,false,false,10/30/19 09:08,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zgaz948hzw/econTabReport.pdf,primary,REP,Sanford,Mark Sanford,3.0
112448,62515,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,464,lv,lv-r,Online,U.S. President,10/27/19,10/29/19,"",false,,false,false,10/30/19 09:08,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zgaz948hzw/econTabReport.pdf,primary,REP,Weld,William F. Weld,2.0
112448,62515,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,464,lv,lv-r,Online,U.S. President,10/27/19,10/29/19,"",false,,false,false,10/30/19 09:08,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zgaz948hzw/econTabReport.pdf,primary,REP,Walsh,Joe Walsh,2.0
112449,62515,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,630,lv,lv-d,Online,U.S. President,10/27/19,10/29/19,"",false,,false,false,10/30/19 09:08,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zgaz948hzw/econTabReport.pdf,primary,DEM,Biden,Joseph R. Biden Jr.,27.0
112449,62515,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,630,lv,lv-d,Online,U.S. President,10/27/19,10/29/19,"",false,,false,false,10/30/19 09:08,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zgaz948hzw/econTabReport.pdf,primary,DEM,Warren,Elizabeth Warren,23.0
112449,62515,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,630,lv,lv-d,Online,U.S. President,10/27/19,10/29/19,"",false,,false,false,10/30/19 09:08,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zgaz948hzw/econTabReport.pdf,primary,DEM,Sanders,Bernard Sanders,14.0
112449,62515,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,630,lv,lv-d,Online,U.S. President,10/27/19,10/29/19,"",false,,false,false,10/30/19 09:08,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zgaz948hzw/econTabReport.pdf,primary,DEM,Buttigieg,Pete Buttigieg,8.0
112449,62515,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,630,lv,lv-d,Online,U.S. President,10/27/19,10/29/19,"",false,,false,false,10/30/19 09:08,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zgaz948hzw/econTabReport.pdf,primary,DEM,Harris,Kamala D. Harris,4.0
112449,62515,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,630,lv,lv-d,Online,U.S. President,10/27/19,10/29/19,"",false,,false,false,10/30/19 09:08,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zgaz948hzw/econTabReport.pdf,primary,DEM,O'Rourke,Beto O'Rourke,4.0
